Chicken	Duck
PDIA3	PDIA3
PPIP5K1	PPIP5K1
MAP1A	MAP1A
TP53BP1	TP53BP1
TUBGCP4	TUBGCP4
IQGAP1	IQGAP1
MAN2A2	MAN2A2
FES	FES
CIB1	CIB1
TTLL6	TTLL13
UNC45A	UNC45A
FURIN	FURIN
MFAP1	MFAP1
HYPK	HYPK
SERINC4	SERINC4
USP39	USP39
ACADM	ACADM
TBX5	TBX5
NF2	NF2
NIPSNAP1	NIPSNAP1
KSR2	KSR2
GAL3ST1	GAL3ST1
SF3A1	SF3A1
TBC1D10A	TBC1D10A
LIF	LIF
MTMR3	MTMR3
RTN4R	RTN4R
OSBP2	OSBP2
IQCD	IQCD
SLC35E4	SLC35E4
UQCR10	UQCR10
ZMAT5	ZMAT5
ASCC2	ASCC2
DTX1	DTX1
WSB2	WSB2
RFC5	RFC5
AIFM3	AIFM3
SLC7A4	SLC7A4
RBM19	RBM19
LHX5	LHX5
PLBD2	PLBD2
CATSPER4	TPCN1
FBXO21	FBXO21
FBXW8	FBXW8
RNFT2	RNFT2
C12orf49	SPRING1
MED13L	MED13L
NOS1	NOS1
CCT5	CCT5
FAM173B	ATPSCKMT
MYO10	MYO10
CDH9	CDH9
FAM134B	RETREG1
ZNF622	ZNF622
MARCHF11	MARCHF11
UBE2QL1	UBE2QL1
UPP1	UPP1
ABCA13	ABCA13
VWC2	VWC2
ZPBP1	ZPBP
C7orf72	SPMIP7
PAPD7	TENT4A
NSUN2	NSUN2
GRB10	GRB10
COBL	COBL
IKZF1	IKZF1
FIGNL1	FIGNL1
DDC	DDC
SPRY2	SPRY2
FBXL7	FBXL7
PCDH20	PCDH20
NDFIP2	NDFIP2
RBM26	RBM26
ANKH	ANKH
RNF219	OBI1
FAM105B	OTULIN
EDNRB	EDNRB
SLAIN1	SLAIN1
FAM105A	OTULINL
TRIO	TRIO
CDH10	CDH10
MYCBP2	MYCBP2
ANKRD33B	ANKRD33B
SNRNP48	SNRNP48
ROPN1L	ROPN1L
MARCHF6	MARCHF6
ACOD1	ACOD1
LMO7	LMO7
SEMA5A	SEMA5A
MTRR	MTRR
FASTKD3	FASTKD3
ADCY2	ADCY2
UCHL3	UCHL3
COMMD6	COMMD6
CDH18	CDH18
TBC1D4	TBC1D4
KLF12	KLF12
KLF5	KLF5
BASP1	BASP1
PIBF1	PIBF1
DIS3	DIS3
BORA	BORA
DACH1	DACH1
KLHL1	KLHL1
SLC33A1	SLC33A1
MBNL1	MBNL1
SUCNR1	SUCNR1
TSC22D2	TSC22D2
IGSF10	IGSF10
MED12L	MED12L
PFN2	PFN2
RNF13	RNF13
P2RY13	P2RY13
COMMD2	COMMD2
WWTR1	WWTR1
CP	CP
GPR171	GPR171
CLRN1	CLRN1
SIAH2	SIAH2
ERICH6	ERICH6
TM4SF4	TM4SF4
HPS3	HPS3
EIF2A	EIF2A
GYG1	GYG1
SERP1	SERP1
OTOL1	OTOL1
NMD3	NMD3
MTAP	MTAP
PPM1L	PPM1L
FAM69C	DIPK1C
PGGT1B	PGGT1B
CIDEA	CIDEA
FEM1C	FEM1C
TSHZ1	TSHZ1
ZADH2	PTGR3
ALDH7A1	ALDH7A1
FRMPD1	FRMPD1
B3GALNT1	B3GALNT1
ARL14	ARL14
KPNA4	KPNA4
SMC4	SMC4
DOK6	DOK6
DCAF10	DCAF10
POLR1E	POLR1E
TMEM200C	TMEM200C
IFT80	IFT80
IL12A	IL12A
ZBTB5	ZBTB5
GRHPR	GRHPR
SPIRE1	SPIRE1
MFSD1	MFSD1
ZCCHC7	ZCCHC7
RARRES1	RARRES1
PTPN2	PTPN2
GFM1	GFM1
PSMG2	PSMG2
LXN	LXN
TOMM5	TOMM5
PRELID3A	PRELID3A
POT1	POT1
ZNF608	ZNF608
LSMEM1	LSMEM1
IFRD1	IFRD1
AFG3L2	AFG3L2
CTTNBP2	CTTNBP2
TUBB6	TUBB6
CFTR	CFTR
TMX3	TMX3
SNX2	SNX2
CEP192	CEP192
RSRC1	RSRC1
MOV10L1	MOV10L1
PANX2	PANX2
PAX5	PAX5
PPIC	PPIC
TES	TES
PRDM6	PRDM6
TFEC	TFEC
PLXNB2	PLXNB2
GRAMD3	GRAMD2B
ZNF800	ZNF800
GRM8	GRM8
DNAJB9	DNAJB9
VEPH1	VEPH1
THAP5	THAP5
ZNF407	ZNF407
PTX3	PTX3
CNDP1	CNDP1
TSPAN12	TSPAN12
CNDP2	CNDP2
AASS	AASS
GOLIM4	GOLIM4
SERPINI1	SERPINI1
PTPRZ1	PTPRZ1
PDCD10	PDCD10
ZNF277	ZNF277
SNCAIP	SNCAIP
NETO1	NETO1
FAM3C	FAM3C
BCHE	BCHE
CBLN2	CBLN2
LPIN2	LPIN2
LRRN3	LRRN3
SRFBP1	SRFBP1
PLPP4	PLPP4
TGIF1	TGIF1
LOX	LOX
DOCK4	DOCK4
GMPS	GMPS
WNT16	WNT16
CEP120	CEP120
EMILIN2	EMILIN2
CPED1	CPED1
PLCH1	PLCH1
EBF3	EBF3
C7orf31	SPMIP4
MYOM1	MYOM1
NPVF	NPVF
ING3	ING3
GLRX3	GLRX3
TCERG1L	TCERG1L
SMCHD1	SMCHD1
WIPF3	WIPF3
PPP2R2D	PPP2R2D
IMPA2	IMPA2
SCRN1	SCRN1
MDFIC	MDFIC
BNIP3	BNIP3
MME	MME
FKBP14	FKBP14
MPPE1	MPPE1
GNAL	GNAL
KLHL7	KLHL7
WDR11	WDR11
FOXP2	FOXP2
GPNMB	GPNMB
MC2R	MC2R
FGFR2	FGFR2
CCDC126	CCDC126
MC5R	MC5R
RNMT	RNMT
FAM221A	FAM221A
FAM210A	FAM210A
ATE1	ATE1
ASB11	ASB11
NSMCE4A	NSMCE4A
CDCA7L	CDCA7L
HMGCLL1	HMGCLL1
GFRAL	GFRAL
GPR37	GPR37
GPR149	GPR149
HCRTR2	HCRTR2
TAX1BP1	TAX1BP1
VEGFD	VEGFD
NDC80	NDC80
JAZF1	JAZF1
MALSU1	MALSU1
ASB9	ASB9
DHX36	DHX36
DSEL	DSEL
TACC2	TACC2
PRKX	PRKX
ANOS1	ANOS1
ARHGEF26	ARHGEF26
GPR85	GPR85
BMP5	BMP5
IGF2BP3	IGF2BP3
TMEM168	TMEM168
JAKMIP3	JAKMIP3
TRA2A	TRA2A
BMX	BMX
WNT2	WNT2
GRPR	GRPR
PHF3	PHF3
CCNL1	CCNL1
PTP4A1	PTP4A1
LEKR1	LEKR1
TIPARP	TIPARP
CAPZA2	CAPZA2
LGSN	LGSN
RBMS3	RBMS3
SSR3	SSR3
DPYSL4	DPYSL4
METTL4	METTL4
CD109	CD109
AP1S2	AP1S2
PLCL2	PLCL2
ZRSR2	ZRSR2
MET	MET
TMEM27	CLTRN
CAV2	CAV2
SLC17A5	SLC17A5
TBC1D5	TBC1D5
ACE2	ACE2
EEF1A1	EEF1A1
PPP1R3A	PPP1R3A
STK32C	STK32C
NR1D2	NR1D2
SLITRK3	SLITRK3
ASMT	ASMT
TRABD	TRABD
MTO1	MTO1
SELENOO	SELENOO
CGAS	CGAS
PWWP2B	PWWP2B
AKAP17A	AKAP17A
FHIP1B	FHIP1B
TUBGCP6	TUBGCP6
EPB41L3	EPB41L3
THRB	THRB
HDAC10	HDAC10
INPP5A	INPP5A
NKX6-2	NKX6-2
ZBTB14	ZBTB14
EVX1	EVX1
APBB1	APBB1
PIGA	PIGA
MAPK12	MAPK12
HPX	HPX
TRIM3	TRIM3
MOSPD2	MOSPD2
DLGAP2	DLGAP2
MAPK11	MAPK11
FANCB	FANCB
B3GAT2	B3GAT2
GLRA2	GLRA2
SMAP1	SMAP1
SPAM1	SPAM1
PIEZO2	PIEZO2
SHOX	SHOX
SDHAF4	SDHAF4
SYAP1	SYAP1
NAPG	NAPG
WASL	WASL
ILK	ILK
CTPS2	CTPS2
ALDH18A1	ALDH18A1
NKIRAS1	NKIRAS1
LMOD2	LMOD2
FAM135A	FAM135A
TAF10	TAF10
RPL15	RPL15
ASB15	ASB15
NDUFA5	NDUFA5
PLEKHA1	PLEKHA1
HTRA1	HTRA1
IQUB	IQUB
CREB5	CREB5
PNPLA4	PNPLA4
SLC13A1	SLC13A1
TRIL	TRIL
TM4SF1	TM4SF1
STS	STS
PUDP	PUDP
SATB1	SATB1
KCNH8	KCNH8
VAPA	VAPA
PNPLA8	PNPLA8
APCDD1	APCDD1
RAB5A	RAB5A
PP2D1	PP2D1
NRCAM	NRCAM
LMBRD1	LMBRD1
KAT2B	KAT2B
SGO1	SGO1
CNTN1	CNTN1
HOXA1	HOXA1
IKZF5	IKZF5
SLCO2B1	SLCO2B1
PSTK	PSTK
HOXA3	HOXA3
PPP4R1	PPP4R1
ASMTL	ASMTL
HOXA4	HOXA4
ACADSB	ACADSB
HOXA5	HOXA5
ADGRB3	ADGRB3
HOXA6	HOXA6
PGM2L1	PGM2L1
RALBP1	RALBP1
HOXA7	HOXA7
PDZRN4	PDZRN4
BUB3	BUB3
ZCRB1	ZCRB1
TWSG1	TWSG1
TAB3	TAB3
PPHLN1	PPHLN1
GPR26	GPR26
PRICKLE1	PRICKLE1
ANKRD12	ANKRD12
HOXA11	HOXA11
NDUFV2	NDUFV2
MYOM2	MYOM2
CHRDL2	CHRDL2
HNRNPA2B1	HNRNPA2B1
ADAMTS20	ADAMTS20
CBX3	CBX3
CYBB	CYBB
PUS7L	PUS7L
CRLF2	CRLF2
OAT	OAT
XK	XK
IRAK4	IRAK4
MTCL1	MTCL1
SMPX	SMPX
SNX10	SNX10
KLHL34	KLHL34
RAB12	RAB12
TLR7	TLR7
LHPP	LHPP
TWF1	TWF1
PRPS2	PRPS2
NARS2	NARS2
FAM83B	FAM83B
FAM53B	FAM53B
USP35	USP35
TMEM117	TMEM117
METTL10	EEF1AKMT2
FEZF1	FEZF1
